"Subset","Detail"
"KDI_EXvsHFD","Zyg11a"
"KDI_EXvsHFD","Hrh2"
"KDI_EXvsHFD","Pim3"
"KDI_EXvsHFD","Slc18a1"
"KDI_EXvsHFD","Mxd4"
"KDI_EXvsHFD","Bag4"
"KDI_EXvsHFD","Vnn1"
"KDI_EXvsHFD","Shank2"
"KDI_EXvsHFD","Enpp6"
"KDI_EXvsHFD","Ciart"
"KDI_EXvsHFD","Pdk2"
"KDI_EXvsHFD","St6galnac5"
"KDI_EXvsHFD","Echdc3"
"KDI_EXvsHFD","Akap7"
"KDI_EXvsHFD","Bub1b"
"KDI_EXvsHFD","Gpr176"
"KDI_EXvsHFD","9430038I01Rik"
"KDI_EXvsHFD","Pclaf"
"KDI_EXvsHFD","N4bp2l1"
"KDI_EXvsHFD","Car8"
"KDI_EXvsHFD","Serpina3h"
"KDI_EXvsHFD","Acacb"
"KDI_EXvsHFD","Cmklr1"
"KDI_EXvsHFD","Lrrn4"
"KDI_EXvsHFD","1700019D03Rik"
"KDI_EXvsHFD","1700048O20Rik"
"KDI_EXvsHFD","Adgrd1"
"KDI_EXvsHFD","Cdc25c"
"KDI_EXvsHFD","Ackr2"
"KDI_EXvsHFD","Trmt10c"
"KDI_EXvsHFD","Tst"
"KDI_EXvsHFD","Gm4779"
"KDI_EXvsHFD","Hcar2"
"KDI_EXvsHFD","Pigz"
"KDI_EXvsHFD","Sbsn"
"KDI_EXvsHFD","Lrrc75a"
"KDI_EXvsHFD","Gpr156"
"KDI_EXvsHFD","Nr1h4"
"KDI_EXvsHFD","Ccdc88b"
"KDI_EXvsHFD","Zfp473"
"KDI_EXvsHFD","Nwd1"
"KDI_EXvsHFD","Osr1"
"KDI_EXvsHFD","Sephs2"
"KDI_EXvsHFD","Prokr1"
"KDI_EXvsHFD","Adamts16"
"KDI_EXvsHFD","Ccdc69"
"KDI_EXvsHFD","Vsig8"
"KDI_EXvsHFD","Zbtb5"
"KDI_EXvsHFD","Tmem239"
"KDI_EXvsHFD","Arhgap15"
"KDI_EXvsHFD","Hic2"
"KDI_EXvsHFD","Gpr18"
"KDI_EXvsHFD","Snx21"
"KDI_EXvsHFD","Mmp13"
"KDI_EXvsHFD","Gm5124"
"KDI_EXvsHFD","Sox6"
"KDI_EXvsHFD","Acot4"
"KDI_EXvsHFD","Prkcb"
"KDI_EXvsHFD","Fbxo31"
"KDI_EXvsHFD","Myh7"
"KDI_EXvsHFD","Dusp7"
"KDI_EXvsHFD","9430021M05Rik"
"KDI_EXvsHFD","Tmem158"
"KDI_EXvsHFD","Arntl"
"KDI_EXvsHFD","Fam72a"
"KDI_EXvsHFD","Timd4"
"KDI_EXvsHFD","Gm5069"
"KDI_EXvsHFD","Ticam2"
"KDI_EXvsHFD","Prss34"
"KDI_EXvsHFD","Ccdc18"
"KDI_EXvsHFD","Zfp658"
"KDI_EXvsHFD","Kdm5d"
"KDI_EXvsHFD","Elmod3"
"KDI_EXvsHFD","Ces1d"
"KDI_EXvsHFD","Phex"
"KDI_EXvsHFD","1600029O15Rik"
"KDI_EXvsHFD","Actg2"
"KDI_EXvsHFD","Myl3"
"KDI_EXvsHFD","Dbp"
"KDI_EXvsHFD","Tmem26"
"KDI_EXvsHFD","Irx1"
"KDI_EXvsHFD","Gdpd1"
"KDI_EXvsHFD","Ppef1"
"KDI_EXvsHFD","Cytl1"
"KDI_EXvsHFD","Acat3"
"KDI_EXvsHFD","Pilrb2"
"KDI_EXvsHFD","Klk11"
"KDI_EXvsHFD","Map7d3"
"KDI_EXvsHFD","Prdm6"
"KDI_EXvsHFD","Cd300ld4"
