"Subset","Detail","DRvsHFD_log2FoldChange","DRvsHFD_pvalue","DRvsHFD_padj","EXvsHFD_log2FoldChange","EXvsHFD_pvalue","EXvsHFD_padj","KDIvsHFD_log2FoldChange","KDIvsHFD_pvalue","KDIvsHFD_padj","KDI_EXvsHFD_log2FoldChange","KDI_EXvsHFD_pvalue","KDI_EXvsHFD_padj"
"Shared","Cnn2",-0.217436660081316,0.000494025863929999,0.176602930827161,-0.223584197201135,0.000338245228480101,0.243534584125226,-0.362810375967454,6.45229634828893e-09,4.28938820624364e-05,-0.334340074377957,8.88151695664299e-08,0.000132418705344266
"Shared","Adgrg2",1.06056968089768,0.000194254480377838,0.115797870817235,0.907778657638635,0.00143366417101768,0.372055904116928,1.07005958045393,0.00016963228311766,0.116960936393044,1.85022974717923,7.04298990080065e-11,5.20617813467184e-07
"Shared","Cfd",2.12096516309023,1.67907437305703e-06,0.00803721758718451,1.3265569539895,0.00274440448074463,0.454884231993139,1.81850645162403,4.0301576194811e-05,0.0350355035720223,2.42258031640812,4.50922872534575e-08,9.99966562132674e-05
"Shared","Ttpa",1.22947447371139,0.00112880654651307,0.267629770300554,1.01417978948712,0.00736789064580624,0.593723681848699,1.09250306938203,0.00386033628675138,0.496524174657044,1.06588196938451,0.00485838432157257,0.333698335349249
"Shared","Gm6397",2.75918197791823,0.00414392464016681,0.384611900588525,2.99926000629994,0.00172080142929193,0.391767368858606,2.70268240732186,0.00500733540869729,0.552767438979155,2.76190894245727,0.00411204982433463,0.313363631974037
"Shared","9430064I24Rik",0.719004214269439,0.000999667309888437,0.263908654518002,0.888011053189823,3.92033585695757e-05,0.225002111642387,0.76959242332041,0.000402641946978187,0.201930361491003,1.17521858102381,3.69479182607702e-08,9.99966562132674e-05
"Shared","Gm45470",1.30497681996056,0.00655160345566864,0.466913966382542,1.57417899449491,0.00100290326025921,0.360088420697426,1.38211047212477,0.00394235142681051,0.497371620399954,1.55837282821043,0.00113538759939569,0.179210105500548
"Shared","Gm8274",2.18810544250425,0.00163065107871283,0.301951662672442,2.61384694503622,0.000124006685259422,0.225002111642387,1.90924198994835,0.00665803494132695,0.591413418045353,2.56839583463852,0.00017108813931132,0.0486416740688184
"Shared","Gm48684",3.0965386587217,0.00149535456983378,NA,2.59389574451895,0.00959455372435146,0.607735695710811,3.26589103167104,0.000721735680678232,NA,2.90066241379983,0.00324889210891389,0.28061941787673
"EXvsHFD_KDIvsHFD_KDI_EXvsHFD","Sctr",NA,NA,NA,1.07064739155414,0.00571089173123552,0.572126815075874,1.46441148300109,0.000144949548372659,0.104283702663695,1.99949362918619,1.85449285462573e-07,0.000241913138495178
