"Subset","Detail","EXvsDR_log2FoldChange","EXvsDR_pvalue","KDIvsDR_log2FoldChange","KDIvsDR_pvalue","KDI_EXvsDR_log2FoldChange","KDI_EXvsDR_pvalue"
"Shared","Il12rb1",-1.36476507133971,0.000740555786638547,-1.00344904984161,0.0109729691115441,-1.22852653904979,0.00223202601273908
"Shared","Rrp15",-0.199545666313877,0.0113634305097911,-0.165023193879835,0.0361309255392385,-0.190674436891673,0.0157870700810654
"Shared","Brpf1",0.116717976170688,0.012833899768684,0.0982643606971712,0.0364973967617461,0.156349102800618,0.000864613574607206
"Shared","Peg3",0.579815578401124,0.0191960408530394,0.967071569499083,9.3743997258211e-05,1.09167426070163,1.03537182795064e-05
"Shared","Prkra",-0.142310476417214,0.023614364722929,-0.207805862387366,0.000989377905196417,-0.13390153182435,0.0335366170528191
"Shared","Gcdh",-0.150187898529159,0.0358659125175584,-0.207085036999882,0.00387009089155146,-0.170188226193809,0.0176088201629678
"Shared","Gstm5",-0.250530546602402,0.0111516631486545,-0.309850897079989,0.00170516198546925,-0.2038989682265,0.0388831481451617
"Shared","Gstm7",-0.244436950843429,0.00922697027030958,-0.277390143109205,0.00318848056021597,-0.310542501607889,0.000996361910974938
"Shared","Slc25a18",1.72676447655279,0.0163564674300753,1.87281873714356,0.00870729262091728,1.77016129180642,0.0138737799261539
"Shared","Rsl1d1",-0.144021078229412,0.0063791051360358,-0.105498407579256,0.0455783161338638,-0.108703679629819,0.0396054492863783
"Shared","Actn3",3.19068380630245,0.00961999303829583,2.8733973873058,0.0197162481376641,3.48657492332531,0.00466465769238274
"Shared","Zfp184",-0.576081038168623,0.00322968103909529,-0.482724500503291,0.0130008688324464,-0.403977345615663,0.0370098734793287
"Shared","Myl2",-2.63416193811273,0.0479637405593225,-2.92123876456852,0.0283355621298433,-5.68197635671659,2.36479381138139e-05
"Shared","Hsd11b1",-0.502310222773966,0.0254139799505727,-0.718651442165597,0.00139363024146616,-0.63849247979393,0.00451475824590907
"Shared","Kdm6b",0.237400275727782,0.023435454127247,0.25752115845079,0.0139519642169048,0.362836150389068,0.000528268001874432
"Shared","Cops6",-0.242375394626066,0.00248981699005224,-0.216320187284766,0.00694175366840857,-0.168014055907027,0.0360061200745412
"Shared","Hint3",-0.233584520680216,0.0197127951694405,-0.226715709360438,0.0236501190522825,-0.205263923415602,0.0405988424978339
"Shared","Snrpf",-0.232649512596324,0.0444501539576434,-0.250474981319125,0.0305467857022451,-0.241891847867461,0.03680539184909
"Shared","Slc36a1",0.189267842457763,0.00133991240824023,0.137605162675986,0.0200895110458166,0.175675986880855,0.00299851552861629
"Shared","Tmem94",0.138554822571291,0.0484753286240106,0.213127673110739,0.00236399993925452,0.242645294332954,0.000539417733979903
"Shared","Pld2",0.205416482268259,0.000398684940457652,0.124129814260989,0.0331345816771913,0.161611270021536,0.00554205519334962
"Shared","Slc35b1",-0.12879505840811,0.024942684712895,-0.180151547872927,0.00174321915184618,-0.15912861004365,0.00570907837904738
"Shared","Acly",-0.429587446160204,0.03167220867855,-0.474458751692721,0.0176506620395291,-0.475160851277347,0.0174862472566748
"Shared","Psmc1",-0.240937693886783,0.00118892139805113,-0.164927064287285,0.0264571967396006,-0.191091093951272,0.0101448560224094
"Shared","Sema4d",0.230583797374678,0.0394012774888626,0.305271885605888,0.00632969283893283,0.303049294450962,0.00676315550880275
