"Subset","Detail","EXvsHFD_log2FoldChange","EXvsHFD_pvalue","EXvsHFD_padj","KDIvsHFD_log2FoldChange","KDIvsHFD_pvalue","KDIvsHFD_padj","KDI_EXvsHFD_log2FoldChange","KDI_EXvsHFD_pvalue","KDI_EXvsHFD_padj"
"Shared","Sctr",1.07064739155414,0.00571089173123552,0.572126815075874,1.46441148300109,0.000144949548372659,0.104283702663695,1.99949362918619,1.85449285462573e-07,0.000241913138495178
"Shared","L3mbtl1",3.05287316959699,0.00182878769976559,0.393851202426661,3.01976901724075,0.00208696964218303,NA,3.17144180488771,0.00117126970882829,0.180437692209951
"Shared","Ccdc148",-0.551664170802111,0.00119088775151111,0.360088420697426,-0.512791159683085,0.00254035510607751,0.445507393491324,-0.504554975564274,0.00303933834582172,0.278835557495397
"Shared","Usp29",2.2291815862816,0.00570520187058836,0.572126815075874,3.84361126699399,1.01245669560855e-06,0.00264048706214711,3.88126131706098,7.93420192667383e-07,0.000977493677366215
"Shared","Slc22a14",1.93422147829487,0.00921095910433502,0.597471660829398,1.95693729342767,0.00839685038597632,0.63845101057978,2.23089820214799,0.00241660214130135,0.259558734157673
"Shared","A530020G20Rik",1.33236712961706,0.000183036116797059,0.225002111642387,1.2694355168999,0.000365512900653272,0.190651528980747,1.12354278979728,0.00162008737436111,0.221399073955752
"KDIvsHFD_KDI_EXvsHFD","Folh1",NA,NA,NA,-0.548487651552001,0.00696017354189306,0.597601073160727,-0.579298942173967,0.00438876751470985,0.323125082307501
"KDIvsHFD_KDI_EXvsHFD","Peg3",NA,NA,NA,0.842818492485902,0.00107163470401511,0.343978253301097,0.967421183688449,0.000173557672035932,0.0487191763932763
"KDIvsHFD_KDI_EXvsHFD","Zim1",NA,NA,NA,1.68092827779409,1.62895938750462e-06,0.00377628985121072,1.89327301188306,6.60610284938966e-08,0.000122080780656721
"KDIvsHFD_KDI_EXvsHFD","Ykt6",NA,NA,NA,-0.125887652530355,0.0010687915239975,0.343978253301097,-0.129149036526361,0.000798898155197633,0.140632669166578
"KDIvsHFD_KDI_EXvsHFD","Slc2a3",NA,NA,NA,0.3801547662597,0.00636005339069169,0.584564554816702,0.422497229010945,0.00242380147738107,0.259558734157673
"KDIvsHFD_KDI_EXvsHFD","Ier3",NA,NA,NA,0.329465352577103,0.00427384037197291,0.51842677628397,0.332496530102514,0.00395407357790105,0.306346101449493
"KDIvsHFD_KDI_EXvsHFD","Plod3",NA,NA,NA,-0.196495476542056,0.00776521103087974,0.623750023313383,-0.200800898609781,0.00653730028877665,0.383521616941563
