"Gene","log2FoldChange","pvalue"
"Elovl3",4.74925798788299,0.00468375448866425
"Neil3",-1.4284611225283,0.00587430774242682
"Dock3",1.25748096412911,0.00417606087511362
"Galnt12",-0.476696768192998,0.0031729816604611
"Zc3h12d",-1.00090835990974,0.00677181700187176
"Thbs1",-0.773026029185113,0.00795047963857148
"BC052040",0.332353472694258,0.00511636550208918
"Map7d2",0.608451422434222,0.0056707385530193
"Rbbp8",-0.292176520888518,0.0079617135309001
"Rhod",-0.418940210015524,0.00246862879732727
"Pm20d1",-0.941481027096374,0.00932547286942223
"Isl1",1.46256419267735,0.00390843338472493
"Clspn",-1.04264535425423,0.00792190112022777
"Apobr",-0.389984602203223,0.00690526330170084
"A730020M07Rik",-1.34070004019789,0.00297539315492678
"4933402E13Rik",-2.51041388769828,0.00106803191492194
"Glb1",-0.226356278567589,0.00792789283657819
"Zfp764",0.182029847688338,0.00722109521067563
"4933440M02Rik",-3.30503988101629,0.00726716545927149
"Gpr158",1.87638607625588,0.00849942246768063
"Slitrk4",3.18641117450422,0.0061578820400307
"Ccdc144b",-1.5403812545468,0.00511720544964063
"C5ar1",-0.808040032158801,0.00498248944568023
"Scg2",1.43219636642031,0.00811568398325316
"Tmem37",-0.835904723287424,0.00690718578100651
"Dcaf12l2",-1.59601229922441,0.00648620603390423
"Sv2c",1.03534627275191,0.000179387939253134
"Ggcx",-0.222997596456321,0.00587491860240752
"Dpep2",-1.10907293076506,0.00695436932325587
"Nap1l5",0.497173085880377,0.00592618438529891
"Per2",0.515030072128778,0.00493438028737213
"Cldn23",-3.20270756042525,0.00744810796415972
"Nfil3",-0.834259078631377,0.00555980073697242
"Serpina9",-2.088062259168,0.00168096821939279
"Nrg2",-1.11069038927353,0.00765840308098621
"Slc38a10",-0.221632658514989,0.00905199370388791
"Dpp6",0.876535415295471,0.00109183838795799
"Cd200r4",-1.27298557432594,0.0090748666960736
"Gm49339",-0.96093592260213,0.00567533115593001
"Cd300lb",-0.795545713014952,0.00964015375521
"Glyat",-2.49906341369451,0.00220125623998716
"Slc31a1",-0.230698038948092,0.00534832102897187
"Rpl7a-ps11",-23.3535620958823,3.88750058558883e-08
"Lyz1",-1.23491219003837,0.0050527808648967
"Gm20634",-0.744266191360462,0.00127888171474773
"Slc17a7",1.3998544719366,0.00154388482533777
"Serpina1d",-2.29507442015414,0.00350378249307446
"Mup14",-3.6647375736183,0.00386436953699527
"Apoc4",-1.96457254958439,0.00533166879061051
"C5ar2",-0.74504247228396,0.00517031963800965
"Bhmt",-2.14918955172151,0.00376465143705835
"Ighm",-1.61545795279311,0.00256156491004592
"Raet1d",-1.56189976777397,0.000732953244051881
"Tgtp1",0.9905368885543,0.00129637230753652
"Gbp4",0.687371244792421,0.0014540702932241
"Prdm12",1.73487046377557,0.00437777404996526
"C1qtnf5",-0.569978230523677,0.00549392183812921
"Gm9009",1.43986807674146,0.00773793529455436
"H3c15",-0.808985292744196,0.00172951173154199
"Gm15922",-1.73372330061781,0.00533482906330791
"Gm15169",1.35516230561328,0.00885222001652332
"E130102H24Rik",0.394572519561861,0.00264524553184591
"Gm15991",1.11440207943064,0.00906274115697151
"A930033H14Rik",0.457663356560356,0.00603538118940339
"Gm765",0.490951802481996,0.00192121876690057
"Gm20633",0.467699102810986,0.00798223045555374
