"Subset","Detail","HFDvsSD_log2FoldChange","HFDvsSD_pvalue","KDvsSD_log2FoldChange","KDvsSD_pvalue","KDvsHFD_log2FoldChange","KDvsHFD_pvalue"
"KDvsSD_KDvsHFD","Mettl24",NA,NA,-0.996430311282722,0.00631797125823794,-1.01450422776198,0.00537060693078327
"KDvsSD_KDvsHFD","Vsig8",NA,NA,-5.73210057941971,9.1876158372788e-06,-5.97123159926343,3.73637787701286e-06
"KDvsSD_KDvsHFD","Ksr2",NA,NA,-3.56818091441561,0.000179671492322675,-3.63006810800302,0.000133948556789151
"KDvsSD_KDvsHFD","Csprs",NA,NA,-2.84296975643008,1.03015551146983e-06,-3.30260666582384,1.03392258405016e-08
"KDvsSD_KDvsHFD","Gm4841",NA,NA,1.89896219459723,0.00598917768997269,2.06575961896777,0.00292949167280106
"KDvsSD_KDvsHFD","Gm7609",NA,NA,-1.68158799532761,0.00483377525414305,-2.35911026157792,6.28694106475905e-05
"KDvsSD_KDvsHFD","Hspd1-ps4",NA,NA,-1.29450544591697,0.0068615662581399,-1.31640794774136,0.00595551631761694
"KDvsSD_KDvsHFD","Igha",NA,NA,-17.8560497920447,2.69677438462742e-05,-24.9106282635144,3.42568562647685e-09
"KDvsSD_KDvsHFD","Gm31305",NA,NA,1.7127022823133,0.00071518415951238,1.85251999709517,0.000276160056576964
"KDvsSD_KDvsHFD","AC147806.2",NA,NA,-2.38162627357756,6.8349297202262e-05,-2.59826438575291,1.3245740169854e-05
"HFDvsSD_KDvsHFD","Dynlt1c",-0.437840408532108,2.28564075775974e-05,NA,NA,0.299122839950467,0.00270379110041012
"HFDvsSD_KDvsHFD","B9d1",-0.353634278544816,0.00239909672932824,NA,NA,0.320400830299231,0.00421804547007396
"HFDvsSD_KDvsHFD","Rrp15",-0.281530182876528,0.00100299806598432,NA,NA,0.229676546678923,0.00521581266222548
"HFDvsSD_KDvsHFD","Ergic1",0.331072868403202,0.0043982401612789,NA,NA,-0.307401381831897,0.00601807306875458
"HFDvsSD_KDvsHFD","Cd3g",-1.5054990206831,0.000194672014009345,NA,NA,1.18689820000845,0.00273531496877624
"HFDvsSD_KDvsHFD","Ap2a2",0.247971132658942,0.000120133900529729,NA,NA,-0.18940004650624,0.00226891523112015
"HFDvsSD_KDvsHFD","Grk5",0.490198318705069,0.00252462913106846,NA,NA,-0.408181676164039,0.00900708627212997
"HFDvsSD_KDvsHFD","Syce2",-0.578553928504091,0.00059580689505109,NA,NA,0.520822329950442,0.00130488738828603
"HFDvsSD_KDvsHFD","Cnn2",0.201777287896789,0.00183186276321051,NA,NA,-0.225459298360082,0.000294953714374488
"HFDvsSD_KDvsHFD","Plod3",0.270257926571954,0.000422701631634952,NA,NA,-0.205346294126225,0.00535834558936367
"HFDvsSD_KDvsHFD","Ubqln1",0.17583073443392,0.000971313488876147,NA,NA,-0.145333255609101,0.00459659588847292
"HFDvsSD_KDvsHFD","Bcas2",-0.29340168832475,1.18002387155679e-05,NA,NA,0.167255878185807,0.00954140665757066
"HFDvsSD_KDvsHFD","Cdk4",-0.165431159412529,0.0095926703864495,NA,NA,0.177595357854545,0.0038370229443536
"HFDvsSD_KDvsHFD","Lama5",0.377548688677687,0.00126404657096364,NA,NA,-0.395168874290142,0.000458661111051038
"HFDvsSD_KDvsHFD","Atp6v0a1",0.319099787466188,0.000976554175534063,NA,NA,-0.312798222964157,0.000787101678188147
