"Gene","log2FoldChange","pvalue","padj"
"Itgb2",-0.919412797544723,0.00258640030476124,0.445507393491324
"Fap",-0.436338645410451,0.00129742176032295,0.36092543476504
"Dnmt3l",-1.85435434804319,0.00562151817061519,0.57100995386719
"Tat",-1.7877209740859,0.00169386232182143,0.377616407302121
"Folh1",-0.548487651552001,0.00696017354189306,0.597601073160727
"Peg3",0.842818492485902,0.00107163470401511,0.343978253301097
"Ykt6",-0.125887652530355,0.0010687915239975,0.343978253301097
"Slc2a3",0.3801547662597,0.00636005339069169,0.584564554816702
"Grk5",-0.416977580122403,0.00765187820582049,0.623750023313383
"Ier3",0.329465352577103,0.00427384037197291,0.51842677628397
"Il7r",-1.57079252187221,0.00182189786455116,0.387878337204034
"Cnn2",-0.362810375967454,6.45229634828893e-09,4.28938820624364e-05
"Plod3",-0.196495476542056,0.00776521103087974,0.623750023313383
"Matk",-0.819227173945056,0.00133836425897846,0.362644570121124
"Bcas2",0.178913547300569,0.00567593122956917,0.57100995386719
"Spo11",-2.83683958661585,0.00435736528567173,0.518965214650428
"Susd2",-0.621617404817024,0.00904116348718546,0.657423676204443
"Hfe",-0.4148203851016,0.00592033099781093,0.57100995386719
"Dio2",-1.32634838280592,0.00832906798641246,0.63845101057978
"Ctsd",-0.464744828309725,0.00787497804972141,0.623750023313383
"Elavl2",0.738818782573916,0.00126006120537951,0.36092543476504
"Ccl8",-2.10893403302892,0.00194727616616843,0.398313430695473
"Bnip2",-0.142826838060438,0.00588306143720121,0.57100995386719
"Kif11",-0.843504357982272,0.00894386228593409,0.657423676204443
"Aldh1a2",-1.32970613525077,0.00368164574055426,0.496524174657044
"Gata3",0.887388049587445,0.00564918661183371,0.57100995386719
"Cd5l",-3.47957108243921,0.00398005837210585,NA
"Rhbdl3",-0.493257971861612,0.000133282819545996,0.0993147409645597
"Ada",-0.825784296079996,0.0039853685346257,0.497371620399954
"Cd68",-0.945724441672932,0.00310953345836166,0.486704289933795
"Plod1",-0.239177347413405,0.000768638041869125,0.286372573313525
"Ccl9",-1.01630948215623,0.00260505665289213,0.445507393491324
"Rab32",-0.407643831408042,0.00177673232312611,0.382162300924774
"Cabcoco1",1.22422861146815,0.00207184622935955,0.4156442281669
"Vnn3",1.32197132481408,0.003825938231618,0.496524174657044
"Ddit4",-0.719407474924714,0.00933229510213991,0.666811660996737
"Slc1a4",-0.472848470046046,0.00528298365754518,0.566433349992229
"Dock2",-0.87825746741255,0.00973108484997476,0.674516127275327
"Pfkl",-0.424920608722775,0.00543805453014369,0.570458720441166
"Shc2",-0.546096606941617,0.00172449606546772,0.377616407302121
"Hmmr",-1.43104349214787,0.00631511515811084,0.584564554816702
"Mrc2",-1.065692276283,0.000123834656149621,0.0956920839224333
"Pimreg",-1.38729932891598,0.00825841954547919,0.635806883383313
"Serpina3n",-0.748110132597328,8.81694973893173e-06,0.011497302459567
"Rab3c",0.802779270564394,0.00286924243531933,0.472147325992803
"Slc4a7",-0.582059483992583,0.00571104670005299,0.57100995386719
"Nr1d2",0.323532237127508,0.00666771003801314,0.591413418045353
"Nefl",0.628939660078784,0.00722729799477723,0.610487228190413
"Adamdec1",0.710746732082235,0.00312588069646897,0.486704289933795
"Dok2",-0.657437691445247,0.00225116961032514,0.426985479543853
"Cpne6",2.05848141920398,0.000862000011397816,0.30342721892651
"Dcstamp",-2.33780897432597,0.000178412450268828,0.116960936393044
"Gtse1",-1.11062203019494,0.00778626201190032,0.623750023313383
"Sdf2l1",-0.687944643846225,0.000411415195748018,0.201930361491003
"Chodl",-1.9928111854618,0.00369796763442863,0.496524174657044
"Fetub",-0.923554906480514,0.000672582377608909,0.280655174528646
"Galnt14",3.34816538676387,0.00425652488596892,NA
"Myo1f",-0.93575076732761,0.00269893185937115,0.454117050918707
"Tapbp",-0.272532384808844,0.00237641148944577,0.442691511748184
"Mzb1",-2.60539806486618,0.000626865004078065,0.26691656010377
"Mal2",-1.11107781444077,0.00664522200903885,0.591413418045353
"Gnal",0.558205444848331,0.00137785584483407,0.368558773674591
"Incenp",-0.376322063633657,0.00146282214363042,0.370248425239623
"Tmem132a",-0.673871145785893,0.00022527343177858,0.1424274206251
"Slc15a3",-0.950404387582638,0.00782326732792866,0.623750023313383
"Lipa",-0.275995491548331,0.00126830107107295,0.36092543476504
"Adam8",-1.70538624321463,0.000711470384722339,0.281332743026725
"Gusb",-0.382994514676062,0.00895425811497444,0.657423676204443
"Zfp202",0.254204426729371,0.00362776501806569,0.496524174657044
"Sgo2a",-0.603748667934996,0.00365225370269188,0.496524174657044
"Col5a2",-0.435049488883574,0.00861843534743466,0.644498333651888
"Ecrg4",-1.46547050903032,0.000520608192890768,0.241377096366066
"Slc9a4",-1.20138754059608,0.00188700525582712,0.397681592500777
"Rgs1",-1.83360451743188,0.00363657356351514,0.496524174657044
"Sctr",1.46441148300109,0.000144949548372659,0.104283702663695
"Cnih3",0.503515169375233,0.00968851079511848,0.674516127275327
"Opn3",0.425460684618365,0.00549569607020103,0.570458720441166
"Dhrs9",-2.93298845523598,0.00153385838277168,0.370248425239623
