"Subset","Detail"
"Shared","Ddx18"
"Shared","Mtmr4"
"Shared","Kdm6b"
"Shared","Rwdd1"
"Shared","Mmp28"
"Shared","Nr1d1"
"Shared","Acly"
"Shared","Tkt"
"Shared","App"
"Shared","Gps2"
"Shared","Bag6"
"Shared","Gaa"
"Shared","Eif5b"
"Shared","Gpatch4"
"Shared","Dnajc6"
"Shared","Hspg2"
"Shared","Casp9"
"Shared","Mmab"
"Shared","Gnao1"
"Shared","Rp9"
"Shared","Cyp1a1"
"Shared","Pdxk"
"Shared","Rpap1"
"Shared","Chchd4"
"Shared","Ccl5"
"Shared","Mbnl3"
"Shared","Bahcc1"
"Shared","Tcf20"
"Shared","Elmsan1"
"Shared","Fam89a"
"Shared","Insig1"
"Shared","Esf1"
"Shared","Gpr156"
"Shared","Zfp280b"
"Shared","Ubqln2"
"Shared","Sez6l"
"Shared","Fam133b"
"Shared","Gm1141"
"Shared","Gm12346"
"Shared","Gm15666"
"Shared","Fam205a2_ENSMUSG00000094066"
"Shared","Gm10851"
"Shared","Gm33320"
"Shared","Pcdha4"
"Shared","Gm43361"
"Shared","Gm40309"
"Shared","Gm45869"
"Shared","Gm48582"
"Shared","D730044K07Rik"
"KDIvsSD_KDI_EXvsSD","Trappc10"
"KDIvsSD_KDI_EXvsSD","Rarg"
"KDIvsSD_KDI_EXvsSD","Nup214"
"KDIvsSD_KDI_EXvsSD","Supt6"
"KDIvsSD_KDI_EXvsSD","Peg3"
"KDIvsSD_KDI_EXvsSD","Zim1"
"KDIvsSD_KDI_EXvsSD","Ciao3"
"KDIvsSD_KDI_EXvsSD","Etv3"
"KDIvsSD_KDI_EXvsSD","Hlf"
"KDIvsSD_KDI_EXvsSD","Atn1"
"KDIvsSD_KDI_EXvsSD","Asf1b"
"KDIvsSD_KDI_EXvsSD","Ddx39"
"KDIvsSD_KDI_EXvsSD","Adcy9"
"KDIvsSD_KDI_EXvsSD","Pcyt1a"
"KDIvsSD_KDI_EXvsSD","Ncoa2"
"KDIvsSD_KDI_EXvsSD","Itgae"
"KDIvsSD_KDI_EXvsSD","Fxyd5"
"KDIvsSD_KDI_EXvsSD","Srp19"
"KDIvsSD_KDI_EXvsSD","Gtf3a"
"KDIvsSD_KDI_EXvsSD","Pip4k2b"
"KDIvsSD_KDI_EXvsSD","Tbx3"
"KDIvsSD_KDI_EXvsSD","Sp2"
"KDIvsSD_KDI_EXvsSD","Dync1h1"
"KDIvsSD_KDI_EXvsSD","Ccar1"
"KDIvsSD_KDI_EXvsSD","Sptbn1"
"KDIvsSD_KDI_EXvsSD","Kremen1"
"KDIvsSD_KDI_EXvsSD","Rnf144a"
"KDIvsSD_KDI_EXvsSD","Atp2a3"
"KDIvsSD_KDI_EXvsSD","Clmn"
"KDIvsSD_KDI_EXvsSD","Pcnx"
"KDIvsSD_KDI_EXvsSD","Gpatch2l"
"KDIvsSD_KDI_EXvsSD","Nr1d2"
"KDIvsSD_KDI_EXvsSD","Pdzd2"
"KDIvsSD_KDI_EXvsSD","Asap1"
"KDIvsSD_KDI_EXvsSD","Tef"
"KDIvsSD_KDI_EXvsSD","Zc3h7b"
"KDIvsSD_KDI_EXvsSD","Tnk2"
"KDIvsSD_KDI_EXvsSD","Cdca3"
"KDIvsSD_KDI_EXvsSD","Abca3"
"KDIvsSD_KDI_EXvsSD","Nudt12"
"KDIvsSD_KDI_EXvsSD","Mapre2"
"KDIvsSD_KDI_EXvsSD","Thoc1"
"KDIvsSD_KDI_EXvsSD","Gnal"
"KDIvsSD_KDI_EXvsSD","Lrrc45"
"KDIvsSD_KDI_EXvsSD","Fasn"
"KDIvsSD_KDI_EXvsSD","Smarcc2"
"KDIvsSD_KDI_EXvsSD","Ptpn14"
"KDIvsSD_KDI_EXvsSD","Dusp12"
"KDIvsSD_KDI_EXvsSD","Abl1"
"KDIvsSD_KDI_EXvsSD","Slc12a6"
"KDIvsSD_KDI_EXvsSD","Hypk"
"KDIvsSD_KDI_EXvsSD","Tpx2"
"KDIvsSD_KDI_EXvsSD","Atp9a"
"KDIvsSD_KDI_EXvsSD","Acss2"
"KDIvsSD_KDI_EXvsSD","Nbea"
"KDIvsSD_KDI_EXvsSD","Ash1l"
"KDIvsSD_KDI_EXvsSD","Lrba"
"KDIvsSD_KDI_EXvsSD","Fmo5"
"KDIvsSD_KDI_EXvsSD","Rprd2"
"KDIvsSD_KDI_EXvsSD","F3"
"KDIvsSD_KDI_EXvsSD","Nol6"
"KDIvsSD_KDI_EXvsSD","Ubap2"
"KDIvsSD_KDI_EXvsSD","Tln1"
"KDIvsSD_KDI_EXvsSD","Wasf2"
"KDIvsSD_KDI_EXvsSD","Ran"
"KDIvsSD_KDI_EXvsSD","Vps33a"
"KDIvsSD_KDI_EXvsSD","Ankle2"
"KDIvsSD_KDI_EXvsSD","Snx8"
"KDIvsSD_KDI_EXvsSD","Ssbp1"
"KDIvsSD_KDI_EXvsSD","Bhlhe40"
"KDIvsSD_KDI_EXvsSD","Klrd1"
"KDIvsSD_KDI_EXvsSD","Atf7ip"
"KDIvsSD_KDI_EXvsSD","Gys2"
"KDIvsSD_KDI_EXvsSD","Abcc9"
"KDIvsSD_KDI_EXvsSD","Rad51ap1"
"KDIvsSD_KDI_EXvsSD","Mki67"
"KDIvsSD_KDI_EXvsSD","Chrdl1"
"KDIvsSD_KDI_EXvsSD","Hcfc1"
"KDIvsSD_KDI_EXvsSD","Tnks"
"KDIvsSD_KDI_EXvsSD","Kat6a"
"KDIvsSD_KDI_EXvsSD","Wwc2"
"KDIvsSD_KDI_EXvsSD","Nr3c2"
"KDIvsSD_KDI_EXvsSD","Mbtps1"
"KDIvsSD_KDI_EXvsSD","Pde4c"
"KDIvsSD_KDI_EXvsSD","Dctn1"
"KDIvsSD_KDI_EXvsSD","Taf1d"
"KDIvsSD_KDI_EXvsSD","Ldlr"
"KDIvsSD_KDI_EXvsSD","Zw10"
"KDIvsSD_KDI_EXvsSD","Tfdp2"
"KDIvsSD_KDI_EXvsSD","Me1"
"KDIvsSD_KDI_EXvsSD","Lrrfip2"
"KDIvsSD_KDI_EXvsSD","Amotl2"
"KDIvsSD_KDI_EXvsSD","Kank1"
"KDIvsSD_KDI_EXvsSD","Heyl"
