"Gene","log2FoldChange","pvalue","padj"
"Grasp",0.344144178788209,0.00555142521571184,0.350736198243948
"Dynlt1c",0.317410376392557,0.00157946501928724,0.218913851673211
"Ccl3",1.90250253567203,0.00363394953752852,0.294880408386401
"Hpn",1.3047230611504,0.000133306075833689,0.0416365568688435
"Cnn1",2.51842253351742,0.000114227019648079,0.0378074386226239
"Gstt1",0.480054320934672,0.00208871938687568,0.247697546114199
"Folh1",-0.579298942173967,0.00438876751470985,0.323125082307501
"Ltbp1",0.383194918810514,0.00766247939206581,0.419614723730439
"Spag5",-1.20452589730992,0.00551448074749829,0.350736198243948
"Peg3",0.967421183688449,0.000173557672035932,0.0487191763932763
"Scin",0.891462856734529,0.00339866957684722,0.285488244455167
"Gnmt",1.15338034518678,0.00418683704890711,0.314736604734115
"Pla1a",0.820270386209542,0.00490148011838162,0.333711774266604
"Slc2a3",0.422497229010945,0.00242380147738107,0.259558734157673
"Ebi3",1.2904581468619,0.00232728588085322,0.257272865707417
"Hck",1.0697606467392,0.00470536235516787,0.333302884612643
"Fcgrt",0.259910782656687,0.00608608487898688,0.370783017242893
"Inmt",0.913112043349646,0.00717921577770158,0.402316183607485
"Ier3",0.332496530102514,0.00395407357790105,0.306346101449493
"Syce2",0.489819222521294,0.00284593231660184,0.273647175035685
"Il7r",-1.76974460703172,0.000464497578882504,0.0990451760509463
"Brinp2",-1.24207149035786,0.00747562292311133,0.412386601848052
"Ptpn6",0.896852211841183,0.00460180090034327,0.328133558733158
"Cnn2",-0.334340074377957,8.88151695664299e-08,0.000132418705344266
"Plod3",-0.200800898609781,0.00653730028877665,0.383521616941563
"Slc2a9",0.531780748005494,0.00895509696757153,0.446172377773029
"Spc25",-0.760264520356911,0.00421843252207842,0.314852077069562
"Dnah2",0.909502713927991,0.00131558535122344,0.197124464518452
"Slc1a3",1.57409359071589,1.80578370767709e-07,0.000241913138495178
"Hmox1",-0.335416103046762,0.00102564276789201,0.164816333483863
"Mthfd2",-0.433715483797095,0.00808752208143262,0.428811650071412
"Sqor",0.377686275058964,0.00635927237179246,0.378751492856135
"Gata6",1.21946795659538,0.00361821195164226,0.294880408386401
"Hfe",-0.406804138033541,0.00696324382017309,0.398887521781132
"Slc5a6",0.504874772264212,0.00267993810181727,0.273647175035685
"Dennd2c",0.405605433633011,0.0024328446618248,0.259558734157673
"Pou2f2",1.23864230098178,0.0029829759806082,0.278835557495397
"Plin5",1.41548021483483,0.00119245354749899,0.182371378409224
"Tex22",-2.89407712516537,0.00830882853326726,0.435594755446182
"Myl2",-4.53831779272762,0.00117167332603864,0.180437692209951
"Gorasp2",-0.189594494668262,0.0032019392314513,0.28061941787673
"Castor2",-0.259346285262906,0.0071355392442452,0.402316183607485
"Cd34",0.402505885590853,0.00316475727608846,0.28061941787673
"Cmah",0.838713137017635,0.00165337532888437,0.222213644202059
"Rhbdl3",-0.338324914487643,0.00850266575107708,0.439522414209523
"Mmp9",0.978848677980391,0.00490575570034781,0.333711774266604
"Cadps2",0.743476615309325,0.0049544604646715,0.333754411324063
"Cenpv",0.455995357917399,0.00300630985300987,0.278835557495397
"Sparc",-0.253158336728406,0.0044977952135588,0.324896112885603
"Irf1",0.428681186118196,0.000643459474258558,0.12301170087205
"Plod1",-0.217740514649816,0.00219959634940723,0.248905955539284
"Etnppl",-0.555599138653028,0.00281841853106276,0.273647175035685
"Pkib",1.3992608900583,0.00384864798628267,0.301581688140652
"Nts",1.88817879708236,0.0028286648114009,0.273647175035685
"Myb",1.42313659974008,0.000109570747416415,0.0368157711319156
"Vnn3",1.88093417991632,3.7899588000706e-05,0.0194421139429589
"Ascl1",1.86853317438885,0.000208730462365206,0.0564488626025707
"Elane",2.21383420213167,0.00357255342575401,0.294516523306769
"Pcsk4",0.7324282640116,0.00114753945621744,0.179210105500548
"Slc1a4",-0.498087778586741,0.00333261025568249,0.282076202404637
"Gfpt2",0.662150633077282,0.00148666887926981,0.208800194297409
"Osbp2",0.323836513666723,0.00860092767347168,0.442992071411835
"Srebf1",0.558583897790243,8.07196041539371e-05,0.0293448842904543
"Pik3cg",0.815055925205502,0.00549071770011776,0.350736198243948
"Mrc2",-0.9940873331394,0.000342827990658521,0.0778584050469497
"Polg2",0.337318395529052,0.00136670297763289,0.201456284702455
"P2rx1",2.09121483761981,0.000414549412833682,0.0910202750396014
"Nr1d1",0.591636480914687,0.00219992637471589,0.248905955539284
"Krt36",2.2100138970566,0.000855378104397231,0.147045463900101
"Nova1",0.721757735091302,0.000141546771643998,0.0431403325986187
