"Gene","log2FoldChange","pvalue"
"Apoh",-0.506805961583281,0.0157319733963485
"Itgb2",0.69613471299759,0.0176406595093621
"Ckmt1",-0.447053610308542,0.0290722574120839
"Rtca",-0.20336891708512,0.00542333989609375
"Dazap2",-0.119189648554191,0.0249600908261092
"Itga5",0.444351756148264,0.00269933378969545
"Dynlt1c",0.280967363971587,0.00317569549484583
"Dnmt3l",1.34173224436093,0.0206987530969241
"Icosl",0.406936243577302,0.0232421317957025
"Rpa1",-0.12905203633076,0.0116456633748272
"Serpinf1",0.594589453395387,0.00298214369364566
"Car4",-0.378299122914993,0.043252840030584
"Zfp512b",0.205653046737351,0.0309544961367593
"Fmr1",0.398056458251391,0.0298310169294348
"Mmp11",0.244873513051487,0.0273667381389619
"Mmp14",0.289105140258829,0.0479884608715472
"Icam4",-0.724296378340996,0.0227600265580476
"Chtop",-0.104662015603006,0.0420551803759665
"Mapk7",0.174537385443835,0.0225987946011266
"Vps9d1",0.204250489026068,0.0268723982620687
"Kctd10",-0.164142571740567,0.0214822919168242
"Col6a1",0.517374735560908,0.00200150042222493
"Pcbp3",0.16586638645936,0.0251270352704245
"Timp1",1.01332270303709,0.00421462947587311
"Uhrf1",0.979463391817855,0.00246698499275171
"Srr",-0.156953186984572,0.0250152574993674
"Sync",0.764207523396414,0.000382447051966891
"Zmat2",-0.193286451240168,0.0291443907317444
"Ube2c",1.48345867259724,0.00280802301203226
"Cct3",-0.20050169391956,0.000403888445782984
"Col18a1",0.491592511227087,0.000906722213488266
"Col1a1",0.715432812793223,0.000189093166044235
"Tubb5",-0.17973356478873,0.0262852811019106
"Fkbp10",0.363657501655148,0.000849597919933842
"Tat",-1.2981974131319,0.0227204624491485
"Tcirg1",0.276557401874465,0.0484660876559869
"Naglu",0.23954588224491,0.0123165436850058
"Rtcb",-0.262898218581778,6.88450630316895e-06
"Capns1",-0.123080664509868,0.0101006752661519
"Lrp3",0.265296683989872,0.0262489235601243
"Spag5",1.45123119328805,0.000316105316946375
"Ccne1",0.671498703006398,0.012774014493168
"Psmc3",-0.299495322333003,0.000951588683556305
"Dbf4",0.417121884469255,0.0278694931250532
"Irf9",-0.200167371692164,0.019155297304006
"Use1",-0.298968731562446,0.0251556464411655
"Prpf6",-0.144264872962821,0.000372288552310913
"Slc9a3r2",-0.15937387804047,0.0417775592978137
"Gtf2f1",-0.318642247348887,0.00229008336346341
"Clpp",-0.259952443501133,0.0105333013481795
"Dennd1c",0.701042603856687,0.00875175496652494
"Kdelr1",0.132860565942943,0.0392835330595537
