"Comparison","Total_DEGs","Upregulated","Downregulated"
"HFDvsSD",481,195,286
"KDvsSD",607,285,322
"DRvsSD",129,68,61
"EXvsSD",736,343,393
"KDI_EXvsSD",556,297,259
"KDIvsSD",885,504,381
"KDvsHFD",485,150,335
"DRvsHFD",299,138,161
"EXvsHFD",100,45,55
"KDI_EXvsHFD",573,293,280
"KDIvsHFD",173,112,61
