"Comparison","Total_DEGs","Upregulated","Downregulated"
"KDI_EXvsSD",1150,692,458
"KDvsSD",228,82,146
"EXvsSD",681,389,292
"HFDvsSD",1190,754,436
"KDIvsSD",1025,510,515
"DRvsSD",545,190,355
"KDI_EXvsHFD",487,312,175
"KDvsHFD",451,134,317
"EXvsHFD",368,221,147
"KDIvsHFD",321,116,205
"DRvsHFD",442,205,237
